NAME_2,DATE,Mean Temperature,YEAR
TA Ngabu,1981-01-01,25.43,1981
TA Ngabu,1981-01-02,26.25,1981
TA Ngabu,1981-01-03,28.2,1981
TA Ngabu,1981-01-04,27.86,1981
TA Ngabu,1981-01-05,28.04,1981
TA Ngabu,1981-01-06,27.7,1981
TA Ngabu,1981-01-07,26.46,1981
TA Ngabu,1981-01-08,27.75,1981
TA Ngabu,1981-01-09,28.54,1981
TA Ngabu,1981-01-10,27.42,1981
TA Ngabu,1981-01-11,26.02,1981
TA Ngabu,1981-01-12,27.43,1981
TA Ngabu,1981-01-13,27.69,1981
TA Ngabu,1981-01-14,27.82,1981
TA Ngabu,1981-01-15,27.05,1981
TA Ngabu,1981-01-16,26.79,1981
TA Ngabu,1981-01-17,27.26,1981
TA Ngabu,1981-01-18,27.48,1981
TA Ngabu,1981-01-19,27.14,1981
TA Ngabu,1981-01-20,26.95,1981
TA Ngabu,1981-01-21,27.21,1981
TA Ngabu,1981-01-22,27.36,1981
TA Ngabu,1981-01-23,28.05,1981
TA Ngabu,1981-01-24,28.85,1981
TA Ngabu,1981-01-25,28.96,1981
TA Ngabu,1981-01-26,27.08,1981
TA Ngabu,1981-01-27,26.95,1981
TA Ngabu,1981-01-28,28.85,1981
TA Ngabu,1981-01-29,28.18,1981
TA Ngabu,1981-01-30,27.9,1981
TA Ngabu,1981-01-31,27.3,1981
TA Ngabu,1981-02-01,26.1,1981
TA Ngabu,1981-02-02,26.91,1981
TA Ngabu,1981-02-03,25.88,1981
TA Ngabu,1981-02-04,26.28,1981
TA Ngabu,1981-02-05,27.05,1981
TA Ngabu,1981-02-06,25.42,1981
TA Ngabu,1981-02-07,24.46,1981
TA Ngabu,1981-02-08,24.28,1981
TA Ngabu,1981-02-09,25.0,1981
TA Ngabu,1981-02-10,27.01,1981
TA Ngabu,1981-02-11,26.47,1981
TA Ngabu,1981-02-12,25.56,1981
TA Ngabu,1981-02-13,25.68,1981
TA Ngabu,1981-02-14,24.59,1981
TA Ngabu,1981-02-15,25.41,1981
TA Ngabu,1981-02-16,25.6,1981
TA Ngabu,1981-02-17,26.45,1981
TA Ngabu,1981-02-18,26.97,1981
TA Ngabu,1981-02-19,25.71,1981
TA Ngabu,1981-02-20,25.77,1981
TA Ngabu,1981-02-21,25.67,1981
TA Ngabu,1981-02-22,25.18,1981
TA Ngabu,1981-02-23,25.01,1981
TA Ngabu,1981-02-24,24.62,1981
TA Ngabu,1981-02-25,25.14,1981
TA Ngabu,1981-02-26,24.7,1981
TA Ngabu,1981-02-27,24.45,1981
TA Ngabu,1981-02-28,24.34,1981
TA Ngabu,1981-03-01,25.71,1981
TA Ngabu,1981-03-02,26.58,1981
TA Ngabu,1981-03-03,27.42,1981
TA Ngabu,1981-03-04,27.15,1981
TA Ngabu,1981-03-05,25.55,1981
TA Ngabu,1981-03-06,22.83,1981
TA Ngabu,1981-03-07,22.43,1981
TA Ngabu,1981-03-08,22.7,1981
TA Ngabu,1981-03-09,24.21,1981
TA Ngabu,1981-03-10,23.48,1981
TA Ngabu,1981-03-11,24.27,1981
TA Ngabu,1981-03-12,25.03,1981
TA Ngabu,1981-03-13,25.74,1981
TA Ngabu,1981-03-14,25.58,1981
TA Ngabu,1981-03-15,26.38,1981
TA Ngabu,1981-03-16,27.3,1981
TA Ngabu,1981-03-17,25.35,1981
TA Ngabu,1981-03-18,24.47,1981
TA Ngabu,1981-03-19,23.65,1981
TA Ngabu,1981-03-20,23.37,1981
TA Ngabu,1981-03-21,24.15,1981
TA Ngabu,1981-03-22,24.87,1981
TA Ngabu,1981-03-23,25.83,1981
TA Ngabu,1981-03-24,27.17,1981
TA Ngabu,1981-03-25,27.41,1981
TA Ngabu,1981-03-26,27.3,1981
TA Ngabu,1981-03-27,27.17,1981
TA Ngabu,1981-03-28,26.71,1981
TA Ngabu,1981-03-29,25.69,1981
TA Ngabu,1981-03-30,24.16,1981
TA Ngabu,1981-03-31,23.5,1981
TA Ngabu,1981-04-01,21.79,1981
TA Ngabu,1981-04-02,22.22,1981
TA Ngabu,1981-04-03,22.79,1981
TA Ngabu,1981-04-04,23.22,1981
TA Ngabu,1981-04-05,23.28,1981
TA Ngabu,1981-04-06,24.12,1981
TA Ngabu,1981-04-07,24.73,1981
TA Ngabu,1981-04-08,25.53,1981
TA Ngabu,1981-04-09,23.97,1981
TA Ngabu,1981-04-10,23.42,1981
TA Ngabu,1981-04-11,23.58,1981
TA Ngabu,1981-04-12,24.2,1981
TA Ngabu,1981-04-13,24.47,1981
TA Ngabu,1981-04-14,23.49,1981
TA Ngabu,1981-04-15,22.37,1981
TA Ngabu,1981-04-16,23.49,1981
TA Ngabu,1981-04-17,24.36,1981
TA Ngabu,1981-04-18,24.15,1981
TA Ngabu,1981-04-19,24.08,1981
TA Ngabu,1981-04-20,25.56,1981
TA Ngabu,1981-04-21,25.02,1981
TA Ngabu,1981-04-22,24.01,1981
TA Ngabu,1981-04-23,23.28,1981
TA Ngabu,1981-04-24,23.56,1981
TA Ngabu,1981-04-25,25.52,1981
TA Ngabu,1981-04-26,26.48,1981
TA Ngabu,1981-04-27,27.53,1981
TA Ngabu,1981-04-28,28.49,1981
TA Ngabu,1981-04-29,24.79,1981
TA Ngabu,1981-04-30,20.26,1981
TA Ngabu,1981-05-01,19.23,1981
TA Ngabu,1981-05-02,20.51,1981
TA Ngabu,1981-05-03,21.11,1981
TA Ngabu,1981-05-04,20.82,1981
TA Ngabu,1981-05-05,22.33,1981
TA Ngabu,1981-05-06,22.96,1981
TA Ngabu,1981-05-07,22.56,1981
TA Ngabu,1981-05-08,21.76,1981
TA Ngabu,1981-05-09,21.02,1981
TA Ngabu,1981-05-10,21.05,1981
TA Ngabu,1981-05-11,21.36,1981
TA Ngabu,1981-05-12,21.62,1981
TA Ngabu,1981-05-13,22.16,1981
TA Ngabu,1981-05-14,21.57,1981
TA Ngabu,1981-05-15,20.88,1981
TA Ngabu,1981-05-16,21.5,1981
TA Ngabu,1981-05-17,21.87,1981
TA Ngabu,1981-05-18,22.07,1981
TA Ngabu,1981-05-19,22.15,1981
TA Ngabu,1981-05-20,22.17,1981
TA Ngabu,1981-05-21,21.6,1981
TA Ngabu,1981-05-22,21.57,1981
TA Ngabu,1981-05-23,20.93,1981
TA Ngabu,1981-05-24,21.46,1981
TA Ngabu,1981-05-25,20.73,1981
TA Ngabu,1981-05-26,21.0,1981
TA Ngabu,1981-05-27,22.15,1981
TA Ngabu,1981-05-28,22.63,1981
TA Ngabu,1981-05-29,23.3,1981
TA Ngabu,1981-05-30,24.23,1981
TA Ngabu,1981-05-31,24.38,1981
TA Ngabu,1981-06-01,22.88,1981
TA Ngabu,1981-06-02,22.27,1981
TA Ngabu,1981-06-03,22.13,1981
TA Ngabu,1981-06-04,22.83,1981
TA Ngabu,1981-06-05,24.4,1981
TA Ngabu,1981-06-06,22.14,1981
TA Ngabu,1981-06-07,21.19,1981
TA Ngabu,1981-06-08,20.35,1981
TA Ngabu,1981-06-09,17.54,1981
TA Ngabu,1981-06-10,16.96,1981
TA Ngabu,1981-06-11,17.43,1981
TA Ngabu,1981-06-12,18.48,1981
TA Ngabu,1981-06-13,20.16,1981
TA Ngabu,1981-06-14,20.49,1981
TA Ngabu,1981-06-15,20.48,1981
TA Ngabu,1981-06-16,21.33,1981
TA Ngabu,1981-06-17,18.33,1981
TA Ngabu,1981-06-18,18.1,1981
TA Ngabu,1981-06-19,17.92,1981
TA Ngabu,1981-06-20,19.91,1981
TA Ngabu,1981-06-21,21.18,1981
TA Ngabu,1981-06-22,21.94,1981
TA Ngabu,1981-06-23,20.41,1981
TA Ngabu,1981-06-24,19.52,1981
TA Ngabu,1981-06-25,19.46,1981
TA Ngabu,1981-06-26,19.61,1981
TA Ngabu,1981-06-27,20.71,1981
TA Ngabu,1981-06-28,21.89,1981
TA Ngabu,1981-06-29,22.03,1981
TA Ngabu,1981-06-30,20.08,1981
TA Ngabu,1981-07-01,20.68,1981
TA Ngabu,1981-07-02,20.62,1981
TA Ngabu,1981-07-03,19.39,1981
TA Ngabu,1981-07-04,20.08,1981
TA Ngabu,1981-07-05,18.87,1981
TA Ngabu,1981-07-06,20.33,1981
TA Ngabu,1981-07-07,22.23,1981
TA Ngabu,1981-07-08,23.76,1981
TA Ngabu,1981-07-09,21.38,1981
TA Ngabu,1981-07-10,20.23,1981
TA Ngabu,1981-07-11,19.16,1981
TA Ngabu,1981-07-12,20.55,1981
TA Ngabu,1981-07-13,20.97,1981
TA Ngabu,1981-07-14,20.17,1981
TA Ngabu,1981-07-15,20.04,1981
TA Ngabu,1981-07-16,20.24,1981
TA Ngabu,1981-07-17,20.17,1981
TA Ngabu,1981-07-18,19.4,1981
TA Ngabu,1981-07-19,19.96,1981
TA Ngabu,1981-07-20,19.89,1981
TA Ngabu,1981-07-21,20.65,1981
TA Ngabu,1981-07-22,20.45,1981
TA Ngabu,1981-07-23,19.48,1981
TA Ngabu,1981-07-24,19.71,1981
TA Ngabu,1981-07-25,19.03,1981
TA Ngabu,1981-07-26,18.93,1981
TA Ngabu,1981-07-27,19.56,1981
TA Ngabu,1981-07-28,20.68,1981
TA Ngabu,1981-07-29,21.15,1981
TA Ngabu,1981-07-30,20.62,1981
TA Ngabu,1981-07-31,18.36,1981
TA Ngabu,1981-08-01,18.37,1981
TA Ngabu,1981-08-02,18.22,1981
TA Ngabu,1981-08-03,19.73,1981
TA Ngabu,1981-08-04,22.63,1981
TA Ngabu,1981-08-05,24.36,1981
TA Ngabu,1981-08-06,22.39,1981
TA Ngabu,1981-08-07,20.04,1981
TA Ngabu,1981-08-08,19.03,1981
TA Ngabu,1981-08-09,19.29,1981
TA Ngabu,1981-08-10,21.4,1981
TA Ngabu,1981-08-11,24.71,1981
TA Ngabu,1981-08-12,25.99,1981
TA Ngabu,1981-08-13,24.6,1981
TA Ngabu,1981-08-14,24.38,1981
TA Ngabu,1981-08-15,22.12,1981
TA Ngabu,1981-08-16,20.94,1981
TA Ngabu,1981-08-17,23.19,1981
TA Ngabu,1981-08-18,24.29,1981
TA Ngabu,1981-08-19,21.35,1981
TA Ngabu,1981-08-20,20.68,1981
TA Ngabu,1981-08-21,21.01,1981
TA Ngabu,1981-08-22,21.31,1981
TA Ngabu,1981-08-23,20.91,1981
TA Ngabu,1981-08-24,22.62,1981
TA Ngabu,1981-08-25,26.36,1981
TA Ngabu,1981-08-26,28.25,1981
TA Ngabu,1981-08-27,28.3,1981
TA Ngabu,1981-08-28,28.32,1981
TA Ngabu,1981-08-29,28.53,1981
TA Ngabu,1981-08-30,27.84,1981
TA Ngabu,1981-08-31,28.36,1981
TA Ngabu,1981-09-01,26.93,1981
TA Ngabu,1981-09-02,20.67,1981
TA Ngabu,1981-09-03,18.17,1981
TA Ngabu,1981-09-04,19.15,1981
TA Ngabu,1981-09-05,18.17,1981
TA Ngabu,1981-09-06,19.66,1981
TA Ngabu,1981-09-07,20.84,1981
TA Ngabu,1981-09-08,23.92,1981
TA Ngabu,1981-09-09,26.63,1981
TA Ngabu,1981-09-10,27.89,1981
TA Ngabu,1981-09-11,27.03,1981
TA Ngabu,1981-09-12,25.56,1981
TA Ngabu,1981-09-13,27.05,1981
TA Ngabu,1981-09-14,28.69,1981
TA Ngabu,1981-09-15,30.43,1981
TA Ngabu,1981-09-16,30.54,1981
TA Ngabu,1981-09-17,29.87,1981
TA Ngabu,1981-09-18,29.9,1981
