UID,NAME_0,NAME_1,NAME_2,GID_2,date_code,ndvi_value,date,year,source_file
MWI.1.1_1_1/1/2013,Malawi,Balaka,Balaka Town,MWI.1.1_1,001MOD13A2,0.6227,1/1/2013,2013,new2020_ndvi.csv
MWI.1.2_1_1/1/2013,Malawi,Balaka,TA Kalembo,MWI.1.2_1,001MOD13A2,0.681652234,1/1/2013,2013,new2020_ndvi.csv
MWI.1.3_1_1/1/2013,Malawi,Balaka,TA Nsamala,MWI.1.3_1,001MOD13A2,0.755873295,1/1/2013,2013,new2020_ndvi.csv
MWI.2.1_1_1/1/2013,Malawi,Blantyre,Blantyre City,MWI.2.1_1,001MOD13A2,0.562131579,1/1/2013,2013,new2020_ndvi.csv
MWI.2.2_1_1/1/2013,Malawi,Blantyre,TA Chigaru,MWI.2.2_1,001MOD13A2,0.716399099,1/1/2013,2013,new2020_ndvi.csv
MWI.2.3_1_1/1/2013,Malawi,Blantyre,TA Kapeni,MWI.2.3_1,001MOD13A2,0.657893158,1/1/2013,2013,new2020_ndvi.csv
MWI.2.4_1_1/1/2013,Malawi,Blantyre,TA Kuntaja,MWI.2.4_1,001MOD13A2,0.668187205,1/1/2013,2013,new2020_ndvi.csv
MWI.2.5_1_1/1/2013,Malawi,Blantyre,TA Kunthembwe,MWI.2.5_1,001MOD13A2,0.699249875,1/1/2013,2013,new2020_ndvi.csv
MWI.2.6_1_1/1/2013,Malawi,Blantyre,TA Lundu,MWI.2.6_1,001MOD13A2,0.734211111,1/1/2013,2013,new2020_ndvi.csv
MWI.2.7_1_1/1/2013,Malawi,Blantyre,TA Machinjili,MWI.2.7_1,001MOD13A2,0.696806667,1/1/2013,2013,new2020_ndvi.csv
MWI.2.8_1_1/1/2013,Malawi,Blantyre,TA Makata,MWI.2.8_1,001MOD13A2,0.70725,1/1/2013,2013,new2020_ndvi.csv
MWI.2.9_1_1/1/2013,Malawi,Blantyre,TA Somba,MWI.2.9_1,001MOD13A2,0.647552232,1/1/2013,2013,new2020_ndvi.csv
MWI.3.1_1_1/1/2013,Malawi,Chikwawa,Chikwawa Boma,MWI.3.1_1,001MOD13A2,0.62255,1/1/2013,2013,new2020_ndvi.csv
MWI.3.2_1_1/1/2013,Malawi,Chikwawa,Lengwe National Park,MWI.3.2_1,001MOD13A2,0.759406788,1/1/2013,2013,new2020_ndvi.csv
MWI.3.3_1_1/1/2013,Malawi,Chikwawa,Majete Game Reserve - Chikwawa,MWI.3.3_1,001MOD13A2,0.724691823,1/1/2013,2013,new2020_ndvi.csv
MWI.3.4_1_1/1/2013,Malawi,Chikwawa,Ngabu Urban,MWI.3.4_1,001MOD13A2,0.619283333,1/1/2013,2013,new2020_ndvi.csv
MWI.3.5_1_1/1/2013,Malawi,Chikwawa,TA Chapananga,MWI.3.5_1,001MOD13A2,0.671857507,1/1/2013,2013,new2020_ndvi.csv
MWI.3.6_1_1/1/2013,Malawi,Chikwawa,TA Kasisi,MWI.3.6_1,001MOD13A2,0.716975776,1/1/2013,2013,new2020_ndvi.csv
MWI.3.7_1_1/1/2013,Malawi,Chikwawa,TA Katunga,MWI.3.7_1,001MOD13A2,0.705536552,1/1/2013,2013,new2020_ndvi.csv
MWI.3.8_1_1/1/2013,Malawi,Chikwawa,TA Lundu,MWI.3.8_1,001MOD13A2,0.708116949,1/1/2013,2013,new2020_ndvi.csv
MWI.3.9_1_1/1/2013,Malawi,Chikwawa,TA Makhwira,MWI.3.9_1,001MOD13A2,0.628930617,1/1/2013,2013,new2020_ndvi.csv
MWI.3.10_1_1/1/2013,Malawi,Chikwawa,TA Maseya,MWI.3.10_1,001MOD13A2,0.705659016,1/1/2013,2013,new2020_ndvi.csv
MWI.3.11_1_1/1/2013,Malawi,Chikwawa,TA Ngabu,MWI.3.11_1,001MOD13A2,0.61728734,1/1/2013,2013,new2020_ndvi.csv
MWI.4.1_1_1/1/2013,Malawi,Chiradzulu,Chiradzulu Boma,MWI.4.1_1,001MOD13A2,0.793366667,1/1/2013,2013,new2020_ndvi.csv
MWI.4.2_1_1/1/2013,Malawi,Chiradzulu,TA Chitera,MWI.4.2_1,001MOD13A2,0.732423214,1/1/2013,2013,new2020_ndvi.csv
MWI.4.3_1_1/1/2013,Malawi,Chiradzulu,TA Kadewere,MWI.4.3_1,001MOD13A2,0.713623626,1/1/2013,2013,new2020_ndvi.csv
MWI.4.4_1_1/1/2013,Malawi,Chiradzulu,TA Likoswe,MWI.4.4_1,001MOD13A2,0.769294898,1/1/2013,2013,new2020_ndvi.csv
MWI.4.5_1_1/1/2013,Malawi,Chiradzulu,TA Mpama,MWI.4.5_1,001MOD13A2,0.660875781,1/1/2013,2013,new2020_ndvi.csv
MWI.4.6_1_1/1/2013,Malawi,Chiradzulu,TA Nchema,MWI.4.6_1,001MOD13A2,0.65092963,1/1/2013,2013,new2020_ndvi.csv
MWI.4.7_1_1/1/2013,Malawi,Chiradzulu,TA Nkalo,MWI.4.7_1,001MOD13A2,0.7704625,1/1/2013,2013,new2020_ndvi.csv
MWI.5.1_1_1/1/2013,Malawi,Chitipa,Chitipa Boma,MWI.5.1_1,001MOD13A2,0.5928375,1/1/2013,2013,new2020_ndvi.csv
MWI.5.2_1_1/1/2013,Malawi,Chitipa,Nyika N.P. - Chitipa,MWI.5.2_1,001MOD13A2,0.735264223,1/1/2013,2013,new2020_ndvi.csv
MWI.5.3_1_1/1/2013,Malawi,Chitipa,TA Kameme,MWI.5.3_1,001MOD13A2,0.674622715,1/1/2013,2013,new2020_ndvi.csv
MWI.5.4_1_1/1/2013,Malawi,Chitipa,TA Mwabulambya,MWI.5.4_1,001MOD13A2,0.656927985,1/1/2013,2013,new2020_ndvi.csv
MWI.5.5_1_1/1/2013,Malawi,Chitipa,TA Mwenemisuku,MWI.5.5_1,001MOD13A2,0.731391621,1/1/2013,2013,new2020_ndvi.csv
MWI.5.6_1_1/1/2013,Malawi,Chitipa,TA Mwenewenya,MWI.5.6_1,001MOD13A2,0.697006804,1/1/2013,2013,new2020_ndvi.csv
MWI.5.7_1_1/1/2013,Malawi,Chitipa,TA Nthalire,MWI.5.7_1,001MOD13A2,0.664043074,1/1/2013,2013,new2020_ndvi.csv
MWI.6.1_1_1/1/2013,Malawi,Dedza,Dedza Boma,MWI.6.1_1,001MOD13A2,0.646041176,1/1/2013,2013,new2020_ndvi.csv
MWI.6.2_1_1/1/2013,Malawi,Dedza,Lake Malawi,MWI.6.2_1,001MOD13A2,0.033770492,1/1/2013,2013,new2020_ndvi.csv
MWI.6.3_1_1/1/2013,Malawi,Dedza,SC Chauma,MWI.6.3_1,001MOD13A2,0.569942373,1/1/2013,2013,new2020_ndvi.csv
MWI.6.4_1_1/1/2013,Malawi,Dedza,SC Chilikumwendo,MWI.6.4_1,001MOD13A2,0.72027561,1/1/2013,2013,new2020_ndvi.csv
MWI.6.5_1_1/1/2013,Malawi,Dedza,SC Kamenya Gwaza,MWI.6.5_1,001MOD13A2,0.682445882,1/1/2013,2013,new2020_ndvi.csv
MWI.6.6_1_1/1/2013,Malawi,Dedza,TA Kachindamoto,MWI.6.6_1,001MOD13A2,0.671154077,1/1/2013,2013,new2020_ndvi.csv
MWI.6.7_1_1/1/2013,Malawi,Dedza,TA Kaphuka,MWI.6.7_1,001MOD13A2,0.711905607,1/1/2013,2013,new2020_ndvi.csv
MWI.6.8_1_1/1/2013,Malawi,Dedza,TA Kasumbu,MWI.6.8_1,001MOD13A2,0.508817576,1/1/2013,2013,new2020_ndvi.csv
MWI.6.9_1_1/1/2013,Malawi,Dedza,TA Pemba,MWI.6.9_1,001MOD13A2,0.746002758,1/1/2013,2013,new2020_ndvi.csv
