UID,GID_2,DATE,RAINFALL_MM,NDVI_VALUE,LST_VALUE,FARMING_WARNING_SYS,DROUGHT_LEVELS,COMPOSITE_VUL_INDEX
MWI.1.1_1_1/1/2022,MWI.1.1_1,1/1/2022,15.44159154,0.426636364,37.39587369,Monitoring: Stable conditions,Normal,50
MWI.1.2_1_1/1/2022,MWI.1.2_1,1/1/2022,15.4009041,0.467996756,37.38927273,Monitoring: Stable conditions,Normal,50
MWI.1.3_1_1/1/2022,MWI.1.3_1,1/1/2022,15.4297228,0.516458363,37.69752475,Monitoring: Stable conditions,Normal,50
MWI.2.1_1_1/1/2022,MWI.2.1_1,1/1/2022,15.27636161,0.400054417,37.7689769,Monitoring: Stable conditions,Normal,50
MWI.2.2_1_1/1/2022,MWI.2.2_1,1/1/2022,15.42329808,0.487241254,37.84042904,Monitoring: Stable conditions,Normal,50
MWI.2.3_1_1/1/2022,MWI.2.3_1,1/1/2022,15.28087863,0.459680859,37.91188119,Monitoring: Stable conditions,Normal,50
MWI.2.4_1_1/1/2022,MWI.2.4_1,1/1/2022,15.36743041,0.592269807,37.98333333,Monitoring: Stable conditions,Normal,50
MWI.2.5_1_1/1/2022,MWI.2.5_1,1/1/2022,15.45941409,0.619836625,37.69089524,Monitoring: Stable conditions,Normal,50
MWI.2.6_1_1/1/2022,MWI.2.6_1,1/1/2022,15.31840089,0.458461111,37.39845714,Monitoring: Stable conditions,Normal,50
MWI.2.7_1_1/1/2022,MWI.2.7_1,1/1/2022,15.28643716,0.445236047,37.10601905,Monitoring: Stable conditions,Normal,50
MWI.2.8_1_1/1/2022,MWI.2.8_1,1/1/2022,15.2936047,0.468066667,36.81358095,Monitoring: Stable conditions,Normal,50
MWI.2.9_1_1/1/2022,MWI.2.9_1,1/1/2022,15.11520954,0.584339869,36.52114286,Monitoring: Stable conditions,Normal,50
MWI.3.1_1_1/1/2022,MWI.3.1_1,1/1/2022,14.90752307,0.4408,36.22870476,Monitoring: Stable conditions,Normal,50
MWI.3.2_1_1/1/2022,MWI.3.2_1,1/1/2022,15.32028583,0.602640933,35.93626667,Monitoring: Stable conditions,Normal,50
MWI.3.3_1_1/1/2022,MWI.3.3_1,1/1/2022,15.06908844,0.582038113,35.64382857,Monitoring: Stable conditions,Normal,50
MWI.3.4_1_1/1/2022,MWI.3.4_1,1/1/2022,15.24373937,0.3830875,35.35139048,Monitoring: Stable conditions,Normal,59
MWI.3.5_1_1/1/2022,MWI.3.5_1,1/1/2022,15.16457003,0.537239224,35.05895238,Monitoring: Stable conditions,Normal,50
MWI.3.6_1_1/1/2022,MWI.3.6_1,1/1/2022,15.04463032,0.545958797,34.76651429,Monitoring: Stable conditions,Normal,44
MWI.3.7_1_1/1/2022,MWI.3.7_1,1/1/2022,15.43517391,0.448235233,34.47407619,Monitoring: Stable conditions,Normal,44
MWI.3.8_1_1/1/2022,MWI.3.8_1,1/1/2022,15.02188833,0.58684876,34.1816381,Monitoring: Stable conditions,Normal,44
MWI.3.9_1_1/1/2022,MWI.3.9_1,1/1/2022,15.03162994,0.474069735,33.8892,Monitoring: Stable conditions,Normal,44
MWI.3.10_1_1/1/2022,MWI.3.10_1,1/1/2022,15.04836813,0.486424855,40.40741022,Monitoring: Stable conditions,Normal,50
MWI.3.11_1_1/1/2022,MWI.3.11_1,1/1/2022,15.04833017,0.424951576,46.92562044,Monitoring: Stable conditions,Normal,50
MWI.4.1_1_1/1/2022,MWI.4.1_1,1/1/2022,15.1443394,0.62514,44.6972478,Monitoring: Stable conditions,Normal,50
MWI.4.2_1_1/1/2022,MWI.4.2_1,1/1/2022,15.0819743,0.466668493,42.46887516,Monitoring: Stable conditions,Normal,50
MWI.4.3_1_1/1/2022,MWI.4.3_1,1/1/2022,15.07695644,0.514442857,40.24050251,Monitoring: Stable conditions,Normal,50
MWI.4.4_1_1/1/2022,MWI.4.4_1,1/1/2022,15.24387789,0.586272059,38.01212987,Monitoring: Stable conditions,Normal,50
MWI.4.5_1_1/1/2022,MWI.4.5_1,1/1/2022,15.21078265,0.527648295,35.78375723,Monitoring: Stable conditions,Normal,50
MWI.4.6_1_1/1/2022,MWI.4.6_1,1/1/2022,15.14060339,0.454413913,33.55538459,Monitoring: Stable conditions,Normal,44
MWI.4.7_1_1/1/2022,MWI.4.7_1,1/1/2022,15.17707215,0.462856604,31.32701195,Monitoring: Stable conditions,Normal,35
MWI.5.1_1_1/1/2022,MWI.5.1_1,1/1/2022,15.22973143,0.2656625,29.09863931,Monitoring: Stable conditions,Normal,41
MWI.5.2_1_1/1/2022,MWI.5.2_1,1/1/2022,15.33783316,0.400049433,26.87026667,Monitoring: Stable conditions,Normal,20
MWI.5.3_1_1/1/2022,MWI.5.3_1,1/1/2022,15.14949534,0.47393159,33.05146226,Monitoring: Stable conditions,Normal,44
MWI.5.4_1_1/1/2022,MWI.5.4_1,1/1/2022,15.29118837,0.389534149,31.89713287,Monitoring: Stable conditions,Normal,44
MWI.5.5_1_1/1/2022,MWI.5.5_1,1/1/2022,15.4603401,0.445055932,27.62835498,Monitoring: Stable conditions,Normal,20
MWI.5.6_1_1/1/2022,MWI.5.6_1,1/1/2022,15.21585231,0.312180887,26.16858407,Monitoring: Stable conditions,Normal,29
MWI.5.7_1_1/1/2022,MWI.5.7_1,1/1/2022,15.55806959,0.300228571,27.96502439,Monitoring: Stable conditions,Normal,29
MWI.6.1_1_1/1/2022,MWI.6.1_1,1/1/2022,15.07042658,0.443816667,27.84001626,Monitoring: Stable conditions,Normal,20
MWI.6.2_1_1/1/2022,MWI.6.2_1,1/1/2022,14.97564656,0.003665844,27.71500813,Monitoring: Stable conditions,Normal,50
MWI.6.3_1_1/1/2022,MWI.6.3_1,1/1/2022,14.95232872,0.322425301,27.59,Monitoring: Stable conditions,Normal,29
MWI.6.4_1_1/1/2022,MWI.6.4_1,1/1/2022,15.0092279,0.473057877,28.68844444,Monitoring: Stable conditions,Normal,20
MWI.6.5_1_1/1/2022,MWI.6.5_1,1/1/2022,14.96286981,0.358604681,29.81282589,Monitoring: Stable conditions,Normal,29
MWI.6.6_1_1/1/2022,MWI.6.6_1,1/1/2022,14.89069013,0.477187198,30.93720734,Monitoring: Stable conditions,Normal,35
