NAME_0,NAME_1,NAME_2,GID_2,001MOD11A2,009MOD11A2,017MOD11A2,025MOD11A2,033MOD11A2,041MOD11A2,049MOD11A2,057MOD11A2,065MOD11A2,073MOD11A2,081MOD11A2,089MOD11A2,097MOD11A2,105MOD11A2,113MOD11A2,121MOD11A2,129MOD11A2,137MOD11A2,145MOD11A2,153MOD11A2,161MOD11A2,169MOD11A2,177MOD11A2,185MOD11A2,193MOD11A2,201MOD11A2,209MOD11A2,217MOD11A2,225MOD11A2,233MOD11A2,241MOD11A2,249MOD11A2,257MOD11A2,265MOD11A2,273MOD11A2,281MOD11A2,289MOD11A2,297MOD11A2,305MOD11A2,313MOD11A2,321MOD11A2,329MOD11A2,337MOD11A2,345MOD11A2,353MOD11A2,361MOD11A2
Malawi,Balaka,Balaka Town,MWI.1.1_1,29.465,30.288,28.972,25.32,27.02,,31.508,25.75,31.544,34.818,35.124,32.828,33.498,32.542,32.418,34.186,30.578,30.528,32.194,27.742,27.948,28.806,30.136,31.41,30.132,29.64,30.424,33.502,34.246,35.08,37.174,35.906,40.258,40.718,43.5,41.164,42.478,41.844,44.49,38.314,45.726,43.454,,40.15,36.032,32.66
Malawi,Balaka,TA Kalembo,MWI.1.2_1,28.48276018,29.37253308,27.29046368,25.06452736,27.01620985,24.15378571,30.74155624,29.52137652,31.15163328,31.8542527,32.46334361,30.96719569,32.5301849,31.75157165,31.03751926,32.23265023,29.18109399,30.00799692,31.18164869,29.40374422,28.71702619,29.09607088,30.35172573,31.273698,31.1738829,30.43949153,31.00380586,34.97915254,35.59758089,35.45810478,38.12097072,38.00137134,42.24374422,42.92830508,45.71807396,40.76244992,45.43033898,43.95736518,46.68898305,45.67674884,48.36599384,45.34587057,30.50666667,34.33395137,34.12706337,34.11916797
Malawi,Balaka,TA Nsamala,MWI.1.3_1,28.70974974,29.99219983,27.74141431,28.16989071,26.0650289,26.33008,30.35732113,28.54024504,30.41124792,32.35409318,31.00296173,31.40199667,31.84732113,31.94838602,30.94402662,32.00708819,30.38936772,30.32078203,31.85402662,29.40865225,28.41792013,29.21567388,30.75514143,32.04998336,30.7974376,31.07394343,31.34908486,34.81552413,35.40109817,36.5346589,37.73930116,37.59825291,41.27737105,42.63489185,44.4343594,40.54361065,45.12955075,43.81311148,44.70821963,43.83963394,47.8375208,44.45708819,31.045,39.59162362,36.00644407,33.01587832
Malawi,Blantyre,Blantyre City,MWI.2.1_1,24.96148148,27.36012658,27.34774011,27.84708738,24.31,,28.37449761,26.28607656,27.48454545,30.48129187,29.81449761,29.58272727,29.4823445,28.79641148,28.49688995,29.16952153,27.20511962,27.35593301,28.55545455,25.83535885,25.31076555,25.01114833,27.59708134,27.24559809,27.72885167,22.17067308,25.59966507,30.07545455,31.04636364,31.12808612,33.73880383,31.53650718,36.01516746,36.45133971,38.4562201,30.2753202,39.24004785,36.47382775,39.7962201,37.25488038,42.2362201,40.49669856,31.83666667,32.34586538,30.9311236,26.70868852
Malawi,Blantyre,TA Chigaru,MWI.2.2_1,30.7629771,33.11333333,26.62356784,30.04396396,27.55888889,24.57533333,30.97099099,29.0490991,30.86882883,33.72045045,31.77963964,32.25333333,33.2509009,32.54243243,31.64540541,31.76837838,31.43468468,30.96378378,31.4572973,29.75666667,27.89324324,29.05324324,30.76594595,31.49306306,30.74783784,29.70099099,31.31315315,34.19918919,35.11693694,36.55675676,38.06990991,37.32963964,40.88621622,43.12441441,43.20423423,38.35612613,45.42567568,44.26936937,45.92315315,43.89558559,47.06612613,45.33135135,31.49,35.50215311,38.07576577,35.49612613
Malawi,Blantyre,TA Kapeni,MWI.2.3_1,29.89217687,33.46132275,25.56746667,30.14047619,,,29.96021053,28.87536842,30.37793651,32.76684211,31.11905263,31.36915789,32.38147368,31.40642105,31.17126316,31.12673684,31.03768421,30.54694737,31.32178947,28.80431579,28.70147368,29.05789474,30.19715789,31.11178947,30.19757895,28.35031579,30.75410526,34.30536842,35.07231579,34.94042105,36.92284211,36.23505263,40.56378947,42.59431579,42.87052632,36.33463158,45.06084211,43.38010526,45.03757895,43.90052632,47.57757895,47.80042105,30.45,33.61095238,36.39557895,32.95322222
Malawi,Blantyre,TA Kuntaja,MWI.2.4_1,29.36502262,31.3534717,23.97393013,29.80273356,26.86242718,,30.2693266,26.94769492,29.00681356,32.27734007,31.68414141,30.7896633,32.58515152,30.36952862,30.16447811,29.96010101,29.46555556,29.31734007,30.49531987,27.9856229,26.8543771,27.28333333,29.19673401,29.60973064,29.91080808,25.82141892,28.91969697,32.60811448,34.27080808,34.66144781,36.61572391,35.30939394,39.48683502,41.92804714,41.48178451,36.08423729,43.673367,41.57518519,43.99922559,41.47188552,44.94979798,44.2262963,,35.35505051,36.54838384,30.39101818
Malawi,Blantyre,TA Kunthembwe,MWI.2.5_1,29.75167147,32.03417391,21.41583333,30.38002494,28.2334,25.73,30.59314214,26.65097187,28.71054863,31.78082294,32.57169576,31.30391521,33.06037406,31.39977556,30.43688279,30.46351621,29.85304239,29.51174564,31.14187032,28.9584788,26.84147208,26.70012469,29.42416459,29.47219451,30.50591022,25.55793017,28.46331671,32.37428928,34.75004988,34.9580798,36.39927681,36.44930175,39.34177057,42.60995012,41.01783042,36.30311721,44.31713217,42.93773067,44.80471322,43.9894015,45.93389027,43.91533666,,37.21563591,37.22755611,31.92323155
Malawi,Blantyre,TA Lundu,MWI.2.6_1,29.96189655,32.12418803,26.48098039,29.15888889,,25.94652174,30.52094017,29.05239316,31.62793103,32.52316239,31.3865812,31.81358974,33.73136752,31.81564103,31.24213675,31.98931624,31.07735043,30.39239316,31.51632479,29.41991453,28.49871795,29.30846154,30.23871795,31.27888889,30.76811966,29.59222222,31.43358974,33.99495726,34.89923077,35.20982906,37.00350427,37.35769231,41.08726496,43.07034188,43.3508547,38.57837607,46.86350427,44.37854701,43.89153846,43.97735043,46.78641026,47.51581197,32.966,33.50470085,35.47547009,37.37626087
Malawi,Blantyre,TA Machinjili,MWI.2.7_1,27.91038462,29.00642857,27.46254237,26.96344828,,,26.95033333,26.06366667,28.934,30.849,29.827,30.82466667,30.53033333,30.76733333,30.12566667,30.794,29.38366667,29.46866667,30.50366667,27.524,27.275,27.445,29.05066667,29.96133333,29.53033333,26.23233333,28.71733333,33.902,34.29066667,33.569,36.45733333,34.94133333,39.85966667,41.119,42.157,36.39566667,43.81866667,41.91166667,43.575,41.83133333,47.767,47.011,,35.55466667,37.201,31.29307692
Malawi,Blantyre,TA Makata,MWI.2.8_1,28.7848,31.9612,24.6592,28.51,,23.23,28.2804,28.5264,30.4844,31.8908,30.3256,31.0168,31.1444,30.6988,30.8312,31.252,30.3872,29.74,30.4256,28.31,28.016,28.39,29.3672,30.2984,29.5168,28.7296,30.232,33.3308,34.1704,34.4016,36.096,36.9348,40.464,41.8032,42.6588,37.2056,44.7896,42.3728,43.4372,43.8564,46.876,47.2044,,34.86795918,35.09869565,35.268
Malawi,Blantyre,TA Somba,MWI.2.9_1,27.40333333,28.95371585,23.16083333,28.84900452,25.61510067,25.6775,28.731875,26.13445596,25.6870297,29.40758929,30.42553571,29.43705357,31.02232143,29.58767857,28.55660714,28.85080357,27.92401786,27.59821429,29.20053571,26.17839286,23.95604651,24.21026786,27.21178571,26.62544643,28.41267857,21.37794258,25.00392857,28.76669643,30.99357143,31.16383929,33.34928571,32.07892857,35.65598214,38.59044643,37.78160714,34.42369369,42.08044643,39.02982143,42.25571429,43.33098214,42.91776786,40.27919643,,35.31045662,32.33963636,29.6161244
Malawi,Chikwawa,Chikwawa Boma,MWI.3.1_1,,31.53333333,24.73,29.56333333,30.34333333,28.85333333,32.00333333,26.70333333,29.56333333,32.16,34.69666667,32.95333333,31.82333333,31.60333333,31.94666667,30.76,30.95,31.38333333,33.07,30.62333333,26.89333333,27.32666667,30.06333333,30.62666667,31.36666667,28.33333333,27.9,33.30666667,34.42,34.74,37.99666667,34.38,37.10666667,41.88,38.93666667,35.84,44.36666667,43.39,45.91333333,49.4,46.87333333,45.59333333,,36.68666667,35.90333333,36.3
Malawi,Chikwawa,Lengwe National Park,MWI.3.2_1,28.85309524,31.3158728,26.67637398,30.61841212,28.40918605,27.72839335,30.43567273,29.17607843,27.41345205,30.2706303,32.52844848,30.8106303,31.82058537,31.32808485,28.92895631,30.52008485,29.8189697,28.71756364,30.77206061,27.85506667,24.41002581,27.09584242,29.39162424,28.42006061,30.08355152,24.36590973,26.39969697,31.16073939,33.31693333,35.06682424,37.63877576,34.38769697,37.89530909,41.85998788,39.80192727,36.55207077,45.90784242,43.61647273,46.33196364,50.5093697,46.52566061,45.36287273,,37.2378303,35.97659394,32.72971939
Malawi,Chikwawa,Majete Game Reserve - Chikwawa,MWI.3.3_1,28.32859091,30.05027344,26.5198062,28.89749574,27.9522069,27.35367865,29.67640545,26.88223169,26.726125,28.8862862,31.02611584,29.24601363,31.01340716,30.21524702,28.48768313,29.42938671,27.93098807,27.1327598,29.64267462,26.64877342,23.78250438,25.19562181,27.86356048,26.79541738,28.98781942,22.54453532,25.02781942,28.94103918,31.3969506,32.63391823,34.73851789,33.53027257,37.50795571,41.16441227,38.80747871,34.8991236,44.48383305,41.72901193,44.94182283,47.00798978,45.56294719,43.33906303,32.4,37.43978648,35.99040886,32.70401835
