NAME_0,NAME_1,NAME_2,GID_2,001MOD13A2,017MOD13A2,033MOD13A2,049MOD13A2,065MOD13A2,081MOD13A2,097MOD13A2,113MOD13A2,129MOD13A2,145MOD13A2,161MOD13A2,177MOD13A2,193MOD13A2,209MOD13A2,225MOD13A2,241MOD13A2,257MOD13A2,273MOD13A2,289MOD13A2,305MOD13A2,321MOD13A2,337MOD13A2,353MOD13A2
Malawi,Balaka,Balaka Town,MWI.1.1_1,0.6226,0.69375,0.61924,0.64128,0.65906,0.59787,0.61655,0.58918,0.50948,0.44843,0.45193,0.40693,0.38951,0.35817,0.32489,0.3117,0.30777,0.29799,0.28673,0.27427,0.29948,0.30382,0.34977
Malawi,Balaka,TA Kalembo,MWI.1.2_1,0.689231587,0.757438521,0.730022342,0.640338829,0.65058829,0.689605085,0.695624653,0.681114638,0.598106471,0.527159784,0.510873498,0.46097057,0.432720031,0.3948453,0.357924191,0.33801772,0.316774114,0.2981849,0.285294761,0.285331433,0.292084746,0.297742835,0.327537904
Malawi,Balaka,TA Nsamala,MWI.1.3_1,0.709774958,0.773031032,0.752749584,0.710926456,0.731528952,0.716750416,0.712720549,0.695845507,0.609994509,0.531437854,0.511338353,0.457095591,0.429249168,0.390509235,0.352895008,0.331331614,0.309932529,0.293130782,0.281325624,0.283078286,0.289623378,0.299923295,0.356468802
Malawi,Blantyre,Blantyre City,MWI.2.1_1,0.647054545,0.616698565,0.626103828,0.504903349,0.644448804,0.603964593,0.600154545,0.593355024,0.560819139,0.503961244,0.520609569,0.449170335,0.451713876,0.408566986,0.372010048,0.359952153,0.347944019,0.336733493,0.335074163,0.334344976,0.368155024,0.359349761,0.444098565
Malawi,Blantyre,TA Chigaru,MWI.2.2_1,0.659836937,0.780719369,0.741518018,0.71736036,0.713440991,0.700909009,0.700062613,0.673004505,0.590461261,0.508370721,0.472141892,0.41264955,0.388542342,0.354685586,0.325488739,0.310225225,0.293810811,0.283771622,0.275310811,0.275363063,0.315931081,0.31280045,0.335628829
Malawi,Blantyre,TA Kapeni,MWI.2.3_1,0.609928421,0.736604211,0.727214737,0.639395263,0.686374737,0.653505263,0.635662105,0.599784211,0.533101053,0.467064211,0.455138947,0.395080526,0.383411053,0.345167895,0.322713684,0.306837368,0.295287368,0.284522105,0.270918421,0.269067895,0.300076316,0.315606316,0.362903684
Malawi,Blantyre,TA Kuntaja,MWI.2.4_1,0.688027946,0.748346465,0.724196296,0.61330303,0.721127946,0.697635017,0.690541077,0.659856229,0.605343098,0.529460269,0.504116498,0.43793367,0.421754882,0.385732997,0.350239731,0.334121549,0.314411448,0.29923266,0.292767677,0.298920875,0.366078788,0.410241077,0.484550168
Malawi,Blantyre,TA Kunthembwe,MWI.2.5_1,0.689118953,0.743018454,0.740312718,0.671837157,0.720742893,0.675287282,0.681667332,0.633212718,0.574816459,0.497310224,0.464821197,0.398832419,0.381162594,0.347281546,0.310998504,0.291731671,0.274062344,0.266304738,0.264305237,0.276769825,0.35464389,0.430465087,0.47376783
Malawi,Blantyre,TA Lundu,MWI.2.6_1,0.669540171,0.780620513,0.729450427,0.677563248,0.704187179,0.679026496,0.67208547,0.647141026,0.6012,0.528446154,0.502320513,0.43768547,0.410003419,0.37281453,0.340387179,0.319419658,0.300484615,0.286777778,0.271207692,0.279539316,0.307,0.326603419,0.370978632
Malawi,Blantyre,TA Machinjili,MWI.2.7_1,0.652193333,0.765515,0.791423333,0.53164,0.74645,0.659331667,0.618956667,0.607845,0.571535,0.512416667,0.512568333,0.44368,0.423003333,0.3813,0.345611667,0.33325,0.322563333,0.310151667,0.300138333,0.308155,0.337383333,0.344195,0.40595
