NAME_0,NAME_1,NAME_2,ID_2,Mean_NDVI_2025.01.01,Mean_NDVI_2025.01.17,Mean_NDVI_2025.02.02,Mean_NDVI_2025.02.18
Malawi,Balaka,Balaka Town,MWI.1.1_1,0.469836364,0.616881818,0.613554545,0.6368
Malawi,Balaka,TA Kalembo,MWI.1.2_1,0.532925615,0.619680761,0.69527528,0.67455302
Malawi,Balaka,TA Nsamala,MWI.1.3_1,0.562131769,0.669341576,0.739217148,0.749964801
Malawi,Blantyre,Blantyre City,MWI.2.1_1,0.511781625,0.567619788,0.643108481,0.644967491
Malawi,Blantyre,TA Chigaru,MWI.2.2_1,0.526056766,0.642309241,0.700384818,0.754155776
Malawi,Blantyre,TA Kapeni,MWI.2.3_1,0.591104297,0.639962109,0.717782031,0.722652344
Malawi,Blantyre,TA Kuntaja,MWI.2.4_1,0.637068116,0.659224879,0.742454589,0.756268116
Malawi,Blantyre,TA Kunthembwe,MWI.2.5_1,0.502713824,0.629724057,0.729789228,0.76175009
Malawi,Blantyre,TA Lundu,MWI.2.6_1,0.507424074,0.643975309,0.673744444,0.72406358
Malawi,Blantyre,TA Machinjili,MWI.2.7_1,0.495712791,0.713637209,0.755267442,0.754446512
Malawi,Blantyre,TA Makata,MWI.2.8_1,0.531874667,0.672692,0.746045333,0.746132
Malawi,Blantyre,TA Somba,MWI.2.9_1,0.687819608,0.683513399,0.766425817,0.747869281
Malawi,Chikwawa,Chikwawa Boma,MWI.3.1_1,0.48868,0.57703,0.61794,0.63873
Malawi,Chikwawa,Lengwe National Park,MWI.3.2_1,0.623675616,0.698139261,0.762820951,0.770706338
Malawi,Chikwawa,Majete Game Reserve - Chikwawa,MWI.3.3_1,0.697407353,0.740058824,0.814127696,0.81298652
Malawi,Chikwawa,Ngabu Urban,MWI.3.4_1,0.346325,0.4787375,0.5862375,0.6176875
Malawi,Chikwawa,TA Chapananga,MWI.3.5_1,0.572072932,0.639446782,0.695546885,0.727249438
Malawi,Chikwawa,TA Kasisi,MWI.3.6_1,0.573053898,0.660134744,0.735455457,0.743936303
Malawi,Chikwawa,TA Katunga,MWI.3.7_1,0.522160622,0.597726425,0.665520207,0.704732124
Malawi,Chikwawa,TA Lundu,MWI.3.8_1,0.65878719,0.66890124,0.729145041,0.730273967
Malawi,Chikwawa,TA Makhwira,MWI.3.9_1,0.674205487,0.66414,0.70365823,0.72629115
Malawi,Chikwawa,TA Maseya,MWI.3.10_1,0.574236416,0.636741618,0.69780578,0.717127168
Malawi,Chikwawa,TA Ngabu,MWI.3.11_1,0.406357341,0.501744197,0.616920523,0.639335127
Malawi,Chiradzulu,Chiradzulu Boma,MWI.4.1_1,0.2635,0.6349,0.77498,0.77006
Malawi,Chiradzulu,TA Chitera,MWI.4.2_1,0.512771233,0.639064384,0.749258904,0.767006849
Malawi,Chiradzulu,TA Kadewere,MWI.4.3_1,0.47053373,0.583611111,0.691512302,0.742456349
Malawi,Chiradzulu,TA Likoswe,MWI.4.4_1,0.575804412,0.629294853,0.743972059,0.736866912
Malawi,Chiradzulu,TA Mpama,MWI.4.5_1,0.506465341,0.562397727,0.742919886,0.766225
Malawi,Chiradzulu,TA Nchema,MWI.4.6_1,0.516573043,0.611210435,0.68323913,0.775964348
Malawi,Chiradzulu,TA Nkalo,MWI.4.7_1,0.415955975,0.602291195,0.678557233,0.748642767
Malawi,Chitipa,Chitipa Boma,MWI.5.1_1,0.402425,0.5434875,0.55775,0.5801875
Malawi,Chitipa,Nyika N.P. - Chitipa,MWI.5.2_1,0.770142497,0.468778562,0.776182472,0.779468474
Malawi,Chitipa,TA Kameme,MWI.5.3_1,0.625271831,0.575952918,0.701661972,0.706701207
Malawi,Chitipa,TA Mwabulambya,MWI.5.4_1,0.568033062,0.515596196,0.691583786,0.702479891
Malawi,Chitipa,TA Mwenemisuku,MWI.5.5_1,0.641263885,0.510124772,0.694244068,0.763859192
Malawi,Chitipa,TA Mwenewenya,MWI.5.6_1,0.6914719,0.562127304,0.747819568,0.757118885
Malawi,Chitipa,TA Nthalire,MWI.5.7_1,0.670020804,0.645913315,0.747048544,0.752669764
Malawi,Dedza,Dedza Boma,MWI.6.1_1,0.4701625,0.359579167,0.647320833,0.67435
