GID_2,year,period,rainfall_mm,ndvi_value
MWI.1.1_1,2022,0,255.005842533,0.426636364
MWI.1.1_1,2022,1,144.659393424,0.475427273
MWI.1.1_1,2022,2,156.530472059,0.591454545
MWI.1.1_1,2022,3,94.554782574,0.607654545
MWI.1.1_1,2022,4,99.702489685,0.518127273
MWI.1.1_1,2022,5,136.339444724,0.600490909
MWI.1.1_1,2022,6,118.26425987200001,0.536
MWI.1.1_1,2022,7,5.3724106,0.501063636
MWI.1.1_1,2022,8,4.4895803999999995,0.498354545
MWI.1.1_1,2022,9,5.179282706,0.455218182
MWI.1.1_1,2022,10,5.023528112,0.420309091
MWI.1.1_1,2022,11,2.484597448,0.381945455
MWI.1.1_1,2022,12,2.364379039,0.362709091
MWI.1.1_1,2022,13,0.474356754,0.343463636
MWI.1.1_1,2022,14,0.742759229,0.310054545
MWI.1.1_1,2022,15,1.787934261,0.300954545
MWI.1.1_1,2022,16,6.420356728,0.2992
MWI.1.1_1,2022,17,0.876063099,0.284063636
MWI.1.1_1,2022,18,12.747458717999999,0.279654545
MWI.1.1_1,2022,19,38.986138563000004,0.320472727
MWI.1.1_1,2022,20,37.171002908,0.3222
MWI.1.1_1,2022,21,119.905250763,0.316772727
MWI.1.1_1,2022,22,130.692866993,0.462918182
MWI.1.1_1,2023,0,139.367494701,0.500427273
MWI.1.1_1,2023,1,154.714510254,0.6386
MWI.1.1_1,2023,2,126.555541548,0.707081818
MWI.1.1_1,2023,3,106.155111242,0.660909091
MWI.1.1_1,2023,4,129.233319381,0.621845455
MWI.1.1_1,2023,5,96.083381562,0.535045455
MWI.1.1_1,2023,6,9.631006983999999,0.622190909
MWI.1.1_1,2023,7,4.785744441,0.615118182
MWI.1.1_1,2023,8,5.571597272,0.547381818
MWI.1.1_1,2023,9,3.032210982,0.510090909
MWI.1.1_1,2023,10,1.544714803,0.471981818
MWI.1.1_1,2023,11,2.039341428,0.417009091
MWI.1.1_1,2023,12,1.920828138,0.396972727
MWI.1.1_1,2023,13,2.9514601689999997,0.375218182
MWI.1.1_1,2023,14,4.757123088,0.347154545
MWI.1.1_1,2023,15,1.717227855,0.331027273
MWI.1.1_1,2023,16,0.899052711,0.328354545
MWI.1.1_1,2023,17,1.5983467439999999,0.327818182
MWI.1.1_1,2023,18,31.795988738,0.337045455
MWI.1.1_1,2023,19,15.428343761,0.334827273
